ID,Name,Released Date,"Saturation Time Metadata
(Top-Performing five Models: Performance and Rankings) ",top5_models_extracted,top model 1,top model 2,top model 3,top model 4,top model 5,num_top_models_extracted,Mean (top-5 models),Std Dev (top-5 models),Range of scores (s_max - s_min; top-5 models),SE_delta,R_norm,Saturation Index,Saturation Index (interpreted) ,Recent Models Evaluated (Yes / No),Time since benchmark release (in months),SOTA Performance at release,Dataset-related issues,"Dataset-related Issues Sources
(Followup papers and other sources describing these issues)",Task Input,Task Output Format,Dataset curation tags,Dataset curation notes,Languages included,Quantity of test samples,Quantity of test samples Notes,Paper Citations,Publically v/s Privately available,Publically v/s Privately available Notes,Literal diversity,Literal diversity Notes,"Identifying which prompts/questions are ""solved"" by numerous models vs those that are consistently hard for different models Notes",Metric,Metric Notes,5th Highest-Performing Model Release Date,5th Highest-Performing Model Release Source
1,Math (math 500),3/5/2021,"o3: 99.2
Grok-4: 99
DeepSeek R1: 98.3
GLM-4.5: 98.2
Claude Opus 4: 98.2

source: https://arxiv.org/pdf/2508.06471",o3: 99.2; Grok-4: 99.0; DeepSeek R1: 98.3; GLM-4.5: 98.2; Claude Opus 4: 98.2,99.2,99,98.3,98.2,98.2,5,98.58,0.43,1,0.03384381,0.295475009,0.916397111,Very high,Yes,57,6.9 (GPT 2),"Contamination, Noisy data, Mislabeling, Other data-related issues","https://arxiv.org/pdf/2507.10532
https://openreview.net/pdf?id=eWObAa0Uaw
https://github.com/hendrycks/math/issues/24",Instruction/Open Ended,Free-form,Expert human created,Collected from aops.com/community/c3158_usa_contests.,English,500,"12500 - 7,500 training and 5,000 test; Math-500 is 500 Test ",2398,Public,,No,,No (problems are from human mathematics competitions) ,Accuracy,Exact match,2025-05-14,https://platform.claude.com/docs/en/about-claude/models/overview
2,GPQA: A Graduate-Level Google-Proof Q&A Benchmark,11/21/2023,"Grok4: 87.7%
GPT-5 (high): 85.4%
Gemini-2.5 Pro: 84.4%
Claude-4.5 Sonnet: 83.4%
GLM 4.6: 82.9% (https://docs.z.ai/guides/llm/glm-4.6)

source: https://artificialanalysis.ai/evaluations/gpqa-diamond",Grok4: 87.7; GPT-5: 85.4; Gemini-2.5 Pro: 84.4; Claude-4.5 Sonnet: 83.4; GLM 4.6: 82.9,87.7,85.4,84.4,83.4,82.9,5,84.76,1.7,4.8,0.1025247248,0.4681797496,0.803167272,High,Yes,25,38.8 (GPT 4),No known issues,"Very few in the github issues: https://github.com/idavidrein/gpqa/issues (but hard to verify)

Also, they was a large-scale follow-up with SuperGPQA: https://arxiv.org/pdf/2502.14739 


Should also note that we use GPQA Diamond subset majorly ((2/2 experts agree & ≤1/3 non-experts correct) )",QA /MCQ,MCQ,Expert human created,"solicit difficult questions from domain experts in subdomains of biology, physics, and chemistry,
where we consider experts as individuals having or pursuing a PhD in the field",English,564,"564 questions with the procedure described in Section2.1. We remove 18 questions
to form a small unreleased held-out set, leaving 546 questions.",1180,Public,,No,,No,Accuracy,,2025-09-30,https://docs.z.ai/release-notes/new-released
3,MMLU-Pro: A More Robust and Challenging Multi-Task Language Understanding Benchmark,6/4/2024,"GPT o1: 89.3%
Claude Opus 4.1: 87.8%
Claude Sonnet 4.5: 87.3%
GPT 5: 87.0%
Claude Opus 4: 86.2%
o3: 85.6%
Grok 4: 85.3%


https://www.vals.ai/benchmarks/mmlu_pro
https://huggingface.co/spaces/TIGER-Lab/MMLU-Pro ",GPT o1: 89.3; Claude Opus 4.1: 87.8; Claude Sonnet 4.5: 87.3; GPT 5: 87.0; Claude Opus 4: 86.2,89.3,87.8,87.3,87,86.2,5,87.52,1.03,3.1,0.04422178601,0.7010119399,0.6117584647,Moderate,Yes,18,72.6 (GPT-4o),"Mislabeling, Other data-related issues","Not papers, but the authors are pretty responsibe on Github: https://github.com/TIGER-AI-Lab/MMLU-Pro/",QA /MCQ,MCQ,"Expert human created, LLM generated","tl;dr: combining, filtering, and extending existing, mostly public academic sources and applying LLM-assisted augmentation and expert review.

Starting point: Human-curated data from MMLU, TheoremQA, STEM websites, SciBench; expert-reviewed and LLM-assisted filtering + LLMs for distractor generation

Heuristic-based filtering of MMLU samples + generation of distractor answer options using GPT-4-Turbo

",English,"12,032",,856,Public,,No,,"Yes: filtered out trivial Qs; error analysis revealed persistently hard Qs (due to reasoning, domain gaps)",Accuracy,Model is asked to picked one of the 10 options and then accuracy is calculated,2025-05-14,https://platform.claude.com/docs/en/about-claude/models/overview
4,Big Bench Hard (BBH),10/18/2022," Claude 3.5 Sonnet (Anthropic): 0.931
Gemini 1.5 Pro (Google): 0.892
Qwen 3 235B- A22B 0.8887 -  Qwen3 Technical Report 
Kimi K2: 0.8871 - Kimi K2: Open Agentic Intelligence 
Gemma 3 27B (Google): 0.876 (Incorrect)
Deepseek v3 base : 0.875 DeepSeek-V3 Technical Report 

Source: https://llm-stats.com/benchmarks/big-bench-hard",Claude 3.5 Sonnet: 93.1; Gemini 1.5 Pro: 89.2; Qwen 3: 88.87; Kimi K2: 88.71; Gemma 3 27B: 87.6,93.1,89.2,88.87,88.71,87.6,5,89.5,1.88,5.5,0.04628488,1.188293141,0.2436455949,Low,Yes,38,73.9 (code-davinci-002),"Noisy data, Other data-related issues",Making BBH harder (BB Extreme): https://arxiv.org/abs/2502.19187,QA /MCQ,MCQ,Expert human created,"Filter out tasks with more than 3 sub tasks, and fewer than 103 examples. Then filter out tasks without human rater baselines, remove non-MCQ types and then clean multi choice and exact match tasks, finally filter out tasks where the best reported model beats average human rater score and then filter out extremely difficult tasks outside the scope of the work.
",English,"6,511",,1066,Public,,No,,"Yes, filtered out tasks where the reported model was better than average human reported score",Accuracy,,2025-03-10,https://ai.google.dev/gemma/docs/releases
5,ARC-AGI,11/6/2019,"J. Berman (2025)        79.6%        
E. Pang (2025)                77.1%        
GPT-5 Pro                        70.2%        
Grok 4 (Thinking)        xAI        66.7%        
Claude Sonnet 4.5 (Thinking 32K)        63.7%",J. Berman: 79.6; E. Pang: 77.1; GPT-5 Pro: 70.2; Grok 4: 66.7; Claude Sonnet 4.5: 63.7,79.6,77.1,70.2,66.7,63.7,5,71.46,6.04,15.9,0.1115670167,1.425152386,0.1311964681,Low,Yes,73,N/A,Contamination,Possible contamination/ but not neccessarily there exists a private set for the leaderboard,Instruction/Open Ended,Free-form,Expert human created,,English,"1,000","Training Set - 400; Public Eval Set - 400; Semi-Private Eval Set 100 tasks (mid-2024); Private Eval Set  100 tasks        (Used as the basis of the ARC Prize competition. Determined final leaderboard in 2020, 2022, 2023, and 2024.)",1024,Private,,No,,,Accuracy,,2025-09-29,https://platform.claude.com/docs/en/about-claude/models/overview
6,MMLU: Measuring Massive Multitask Language Understanding,9/8/2020,"Gpt-5-2025-08-07: 93.5%
Claude-Opus-4-1-20250805: 93.4%
Claude-Opus-4-20250514: 92.8%
Gemini-2.5-Pro-Preview-06-05: 92.4%
O3-2025-04-16: 92.3%

Source: https://www.kaggle.com/benchmarks/open-benchmarks/mmlu",Gpt-5-2025-08-07: 93.5; Claude-Opus-4-1-20250805: 93.4; Claude-Opus-4-20250514: 92.8; Gemini-2.5-Pro-Preview-06-05: 92.4; O3-2025-04-16: 92.3,93.5,93.4,92.8,92.4,92.3,5,92.88,0.5,1.2,0.03233177767,0.371151878,0.8713132554,High,Yes,63,43.9 (GPT-3 X-Large),"Contamination, Mislabeling, Noisy data","MMLU Redux: https://arxiv.org/abs/2406.04127
MMLU Pro: https://arxiv.org/abs/2406.01574
MMLU Contamination: https://aclanthology.org/2025.acl-long.656.pdf 

",QA /MCQ,MCQ,crowdsourced human created,Collected by Grad and Undergrad Students,English,"15,908","The few-shot development set has 5 questions per subject, the validation set
 is made of 1540 questions, and the test set has 14079
questions.",5221,Public,,No,,,Accuracy,,2025-04-16,https://platform.openai.com/docs/changelog
7,Winogrande,7/25/2019,"GPT 4 - 87.5 
Command R+ 85.4
KImi K2 - Base 85.32 
Qwen2 72B Instruct: 85.1
Llama 3.1: 0.845
GPT 3.5 - 81.6
Gemma 3 - 78.8","GPT 4: 87.5; 
Command R: 85.4;
KImi K2 - Base 85.32;
Qwen2 72B Instruct: 85.1;
Llama 3.1: 84.5",87.5,85.4,85.32,85.1,84.5,5,85.56,1.02,3,0.07561587,0.3967421375,0.8543585516,High,Yes,77,79.3 (RoBERTa),No known issues,"Potential contamination, available since 2019",QA /MCQ,Free-form,crowdsourced human created,Crowdsourcing - Amazon Mechanical Turks,English,"1,767","43,972 (40,938 for
training, 1,267 for development, and 1,767 for test)",1949,Public,,No,,,Accuracy,,2024-07-23,https://ai.meta.com/blog/meta-llama-3-1/
8,HellaSwag,5/20/2019,"Claude 3 Opus (Anthropic): 0.954
GPT-4 (OpenAI): 0.953
Kimi-k2-base: 0.946 - [2507.20534] Kimi K2: Open Agentic Intelligence 
Gemini 1.5 Pro (Google): 0.933
Claude 3 Sonnet (Anthropic): 0.890
Deepseek v3 base: 0.889 - [2412.19437] DeepSeek-V3 Technical Report 

https://llm-stats.com/benchmarks/hellaswag
https://arxiv.org/pdf/2303.08774

Since 38% of this dataset is reported to have errors, I think it's safe to say that this is contaminated (and would normally mark the within 3-5 years option). However, this doesn't meet the strict requirement in the Field Definitions (not all recent models have been tested, so we dont have the 1% rule) so I left it as ""Not Saturated Yet""",Claude 3 Opus: 95.4; GPT-4: 95.3; Kimi-k2-base: 94.6; Gemini 1.5 Pro: 93.3; Claude 3 Sonnet: 89.0,95.4,95.3,94.6,93.3,89,5,93.52,2.38,6.4,0.03765139,1.699804321,0.0556132,Low,Yes,79,47.3 (BERT-Large),Other data-related issues,"Answering HellaSwag without the question: https://arxiv.org/abs/2402.12483

General issues: https://arxiv.org/abs/2504.07825 

Blog post: https://www.surgehq.ai/blog/hellaswag-or-hellabad-36-of-this-popular-llm-benchmark-contains-errors

Github Issues: https://github.com/rowanz/hellaswag/issues/8",QA /MCQ,MCQ,"crowdsourced human created, LLM generated",,English,"10,003","training:39905 validation:10042 test:10003
https://huggingface.co/datasets/Rowan/hellaswag",2836,Public,,No,,,Accuracy,,2024-03-04,https://www.anthropic.com/research/claude-3-family
9,GSM8K,10/28/2021,"Kimi K2 Instruct: 0.973
o1: 0.971
GPT-4.5: 0.970
Llama 3.1 405B Instruct: 0.968
Claude 3.5 Sonnet: 0.964
source: https://llm-stats.com/benchmarks/gsm8k
",Kimi K2 Instruct: 97.3; o1: 97.1; GPT-4.5: 97.0; Llama 3.1 405B Instruct: 96.8; Claude 3.5 Sonnet: 96.4,97.3,97.1,97,96.8,96.4,5,96.92,0.31,0.9,0.0409746,0.2196482785,0.9528999489,Very high,Yes,50,55 (GPT-3),"Contamination, Mislabeling","potential contamination
label noise
https://gradientscience.org/gsm8k-platinum/",Instruction/Open Ended,Free-form,Expert human created,Couldn't find exact info.; OpenAI authors probably curated it based on textbooks + human annotations,English,"1,319","training:7473 test:1319
https://huggingface.co/datasets/openai/gsm8k",4160,Public,,No,Problems are designed to be highly diverse in framing as well as concepts,No,Accuracy,,2024-06-20,https://www.anthropic.com/news/claude-3-5-sonnet
10,TruthfulQA,9/9/2021,"Numbers are from: https://www.lesswrong.com/posts/Bunfwz6JsNd44kgLT/new-improved-multiple-choice-truthfulqa
Claude 3.5 91.1
Gpt 4o 88.5
grok 2 87.2
llama 3.3 70b 84.4
deepseek-chat 84.4
gemini 1.5 flash 83.9",Claude 3.5: 91.1; Gpt 4o: 88.5; grok 2: 87.2; llama 3.3 70b: 84.4; deepseek-chat: 84.4,91.1,88.5,87.2,84.4,84.4,5,87.12,2.55,6.7,0.08627245,0.7766094614,0.5471007782,Moderate,No,51,29.5 (GPT-3 175B),Contamination,Other Issues: https://turntrout.com/original-truthfulqa-weaknesses,QA /MCQ,"MCQ, Free-form",Expert human created,,English,817,"TruthfulQA consists of a test set of 817 questions
and is intended only for the zero-shot setting.",2467,Public,,No,,,"Accuracy, LLM-as-a-Judge","Accuracy, LLM-judging score for OpenQAAcc for MCQ",2024-12-27,https://arxiv.org/abs/2412.19437
